session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62b5a814d2da8c9093446eff,5994d7d9c825cf0001d7dd30,APPROVED,2022-06-24 12:03:36.391000,2022-06-24 12:07:54.950000,258.559,42,773,11,98,2022-06-26 21:47:43.749000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a8225e6bdd952d5def6a,5c1c18f810140800013ef6ff,APPROVED,2022-06-24 12:03:50.868000,2022-06-24 12:17:15.983000,805.115,37,178,0,100,2022-06-26 21:47:43.803000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,No
62b5a831ee94b104e8dffc82,612683e6ceb3e6918fb0863a,APPROVED,2022-06-24 12:04:06.319000,2022-06-24 12:09:58.578000,352.259,48,151,0,100,2022-06-26 21:47:43.860000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a83ece955183760c57a2,61432c4d120d522fec8a492f,APPROVED,2022-06-24 12:04:18.064000,2022-06-24 12:09:26.175000,308.111,25,54,0,100,2022-06-26 21:47:43.917000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a84655bb29ccf3f14a9b,5cf765f7b026f40001fe1bc6,APPROVED,2022-06-24 12:04:26.341000,2022-06-24 12:14:17.671000,591.33,34,822,6,99,2022-06-26 21:47:43.972000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a8465e6bdd952d5def6c,5cdb3e9caa4e2a00019a16bc,APPROVED,2022-06-24 12:04:46.897000,2022-06-24 12:13:21.127000,514.23,50,451,1,100,2022-06-26 21:47:44.029000,2DA8D5B4,United States,United States,DATA EXPIRED,English,United States,Male,No
62b5a870ee94b104e8dffc8d,61462f5937efaaf31b8aadae,APPROVED,2022-06-24 12:05:08.731000,2022-06-24 12:11:32.236000,383.505,33,87,1,99,2022-06-26 21:47:44.095000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
62b5a88034c0b112bf8fa247,58fa36995214e3000193281c,APPROVED,2022-06-24 12:05:28.266000,2022-06-24 12:09:27.215000,238.949,37,962,3,100,2022-06-26 21:47:44.154000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
62b5a88ece77a61bb5400b1c,60da2bb8297a933cad23e04f,APPROVED,2022-06-24 12:05:40.445000,2022-06-24 12:09:48.724000,248.279,41,90,0,100,2022-06-26 21:47:44.217000,2DA8D5B4,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
62b5a89c83f182f4341c5769,5b64a4ef40003400016f3e03,APPROVED,2022-06-24 12:07:59.728000,2022-06-24 12:15:31.904000,452.176,45,532,6,99,2022-06-26 21:47:44.279000,2DA8D5B4,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,No
62b5a8a737b2ae1d9cfa46d8,62b495a707bd4eb65ab81728,APPROVED,2022-06-24 12:06:04.051000,2022-06-24 12:12:07.954000,363.903,29,8,0,100,2022-06-26 21:47:44.363000,2DA8D5B4,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
62b5a8b8083e7982b6d922cd,5db7203e98ecdf000ae8d504,APPROVED,2022-06-24 12:06:22.213000,2022-06-24 12:12:18.863000,356.65,58,617,4,100,2022-06-26 21:47:44.483000,2DA8D5B4,United Kingdom,United Kingdom,DATA EXPIRED,English,United Kingdom,Male,DATA EXPIRED
